month,state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_,total_bio_updates,total_demo_updates,total_enrolments,norm_bio,norm_demo,norm_enrol,stress_score_raw,stress_score,risk_category,z_score,is_anomaly
2025-03-01,Andaman And Nicobar Islands,Andamans,0.0,0.0,0.0,0.0,0.0,16.0,193.0,209.0,0.0,0.0,0.0023478397627446,0.0,0.0,0.0009391359050978,0.0939135905097845,Green,-0.6181211347345493,False
2025-03-01,Andaman And Nicobar Islands,Nicobar,0.0,0.0,0.0,32.0,360.0,178.0,101.0,279.0,392.0,0.0,0.0031341975780179,0.0029330340441451,0.0,0.0021335892444507,0.2133589244450718,Green,1.248360997813508,False
2025-03-01,Andaman And Nicobar Islands,North And Middle Andaman,0.0,0.0,0.0,20.0,402.0,470.0,347.0,817.0,422.0,0.0,0.0091779190725471,0.0031575009352787,0.0,0.0046184179096024,0.4618417909602464,Green,0.5930535200474446,False
2025-03-01,Andaman And Nicobar Islands,South Andaman,0.0,0.0,0.0,74.0,450.0,948.0,450.0,1398.0,524.0,0.0,0.0157046889393156,0.0039206883651328,0.0,0.0074580820852661,0.74580820852661,Green,0.36976672722271053,False
2025-03-01,Andhra Pradesh,Adilabad,0.0,0.0,0.0,390.0,3950.0,897.0,4366.0,5263.0,4340.0,0.0,0.0591228740254779,0.0324728769173213,0.0,0.0333910126853876,3.3391012685387604,Green,-0.6752815172738004,False
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,0.0,0.0,0.0,507.0,4448.0,585.0,1408.0,1993.0,4955.0,0.0,0.0223887303691388,0.0370744481855592,0.0,0.0200778266033233,2.007782660332332,Green,0.8307980940578937,False
2025-03-01,Andhra Pradesh,Anakapalli,0.0,0.0,0.0,373.0,2791.0,218.0,234.0,452.0,3164.0,0.0,0.0050776247500505,0.0236737747848858,0.0,0.0091331823354859,0.913318233548599,Green,0.27403719684676325,False
2025-03-01,Andhra Pradesh,Anantapur,0.0,0.0,0.0,953.0,19013.0,3363.0,6499.0,9862.0,19966.0,0.0,0.1107865824889348,0.1493901982790871,0.0,0.0891316924793,8.913169247930009,Green,0.5469584229631811,False
2025-03-01,Andhra Pradesh,Ananthapur,0.0,0.0,0.0,2020.0,7310.0,11722.0,2215.0,13937.0,9330.0,0.0,0.1565638410209171,0.0698092031425364,0.0,0.0835682973511278,8.356829735112779,Green,1.4913896736437848,False
2025-03-01,Andhra Pradesh,Ananthapuramu,0.0,0.0,0.0,2547.0,7891.0,14063.0,2087.0,16150.0,10438.0,0.0,0.1814239816666292,0.0780995136550692,0.0,0.0959994467631724,9.599944676317245,Green,0.7994070916534948,False
2025-03-01,Andhra Pradesh,Annamayya,0.0,0.0,0.0,526.0,3272.0,235.0,270.0,505.0,3798.0,0.0,0.0056730099530432,0.0284175084175084,0.0,0.0107944565064698,1.0794456506469807,Green,-1.0739761371634478,False
2025-03-01,Andhra Pradesh,Bapatla,0.0,0.0,0.0,232.0,1653.0,114.0,131.0,245.0,1885.0,0.0,0.0027522523534566,0.0141040029928918,0.0,0.0053321018392502,0.5332101839250206,Green,-0.5845435636201696,False
2025-03-01,Andhra Pradesh,Chittoor,0.0,0.0,0.0,4070.0,38298.0,18773.0,9414.0,28187.0,42368.0,0.0,0.3166438248444135,0.3170071081182192,0.0,0.2217596623732311,22.17596623732312,Green,0.828820922873296,False
2025-03-01,Andhra Pradesh,Cuddapah,0.0,0.0,0.0,1786.0,16961.0,11599.0,5222.0,16821.0,18747.0,0.0,0.1889617830101777,0.1402693602693602,0.0,0.1176655212848791,11.766552128487916,Green,-0.09998663029721243,False
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0.0,0.0,0.0,240.0,2136.0,116.0,181.0,297.0,2376.0,0.0,0.0033364038733739,0.0177777777777777,0.0,0.0066678948826829,0.6667894882682903,Green,-0.4235700603627813,False
2025-03-01,Andhra Pradesh,East Godavari,0.0,0.0,0.0,3391.0,37620.0,18286.0,11512.0,29798.0,41011.0,0.0,0.3347412882787751,0.3068537224092779,0.0,0.2259526320342934,22.59526320342934,Green,0.4089815957091002,False
2025-03-01,Andhra Pradesh,Eluru,0.0,0.0,0.0,283.0,2536.0,171.0,308.0,479.0,2819.0,0.0,0.0053809341930845,0.0210924055368499,0.0,0.0084800953382888,0.8480095338288812,Green,-0.30962169502054515,False
2025-03-01,Andhra Pradesh,Guntur,0.0,0.0,0.0,3060.0,40302.0,19655.0,11604.0,31259.0,43362.0,0.0,0.3511536992518367,0.3244444444444444,0.0,0.237794813034068,23.7794813034068,Green,0.5449160234763504,False
2025-03-01,Andhra Pradesh,Hyderabad,0.0,0.0,0.0,695.0,6045.0,2070.0,9936.0,12006.0,6740.0,0.0,0.1348715990024489,0.0504302282080059,0.0,0.0690777080633813,6.907770806338137,Green,-0.8458386597438257,False
2025-03-01,Andhra Pradesh,K.V. Rangareddy,0.0,0.0,0.0,0.0,0.0,11.0,6.0,17.0,0.0,0.0,0.0001909726122806,0.0,0.0,7.638904491226494e-05,0.0076389044912264,Green,-1.045101444898181,False
2025-03-01,Andhra Pradesh,Kakinada,0.0,0.0,0.0,638.0,4748.0,203.0,317.0,520.0,5386.0,0.0,0.0058415151991732,0.040299289188178,0.0,0.0144263928361227,1.44263928361227,Green,-0.1403623904618562,False
2025-03-01,Andhra Pradesh,Karim Nagar,0.0,0.0,0.0,0.0,0.0,26.0,117.0,143.0,0.0,0.0,0.0016064166797726,0.0,0.0,0.000642566671909,0.0642566671909052,Green,-0.672657176947972,False
2025-03-01,Andhra Pradesh,Karimnagar,0.0,0.0,0.0,93.0,766.0,269.0,1150.0,1419.0,859.0,0.0,0.0159405962838976,0.0064272353161242,0.0,0.0083044091083963,0.8304409108396317,Green,-0.965507058997575,False
