month,state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_,total_bio_updates,total_demo_updates,total_enrolments,norm_bio,norm_demo,norm_enrol,stress_score_raw,stress_score,risk_category
2025-03-01,Andaman And Nicobar Islands,Andamans,0.0,0.0,0.0,0.0,0.0,16.0,193.0,209.0,0.0,0.0,0.002347839762744613,0.0,0.0,0.0009391359050978453,0.09391359050978453,Green
2025-03-01,Andaman And Nicobar Islands,Nicobar,0.0,0.0,0.0,32.0,360.0,178.0,101.0,279.0,392.0,0.0,0.0031341975780179287,0.002933034044145155,0.0,0.0021335892444507183,0.21335892444507182,Green
2025-03-01,Andaman And Nicobar Islands,North And Middle Andaman,0.0,0.0,0.0,20.0,402.0,470.0,347.0,817.0,422.0,0.0,0.009177919072547124,0.0031575009352787127,0.0,0.004618417909602464,0.4618417909602464,Green
2025-03-01,Andaman And Nicobar Islands,South Andaman,0.0,0.0,0.0,74.0,450.0,948.0,450.0,1398.0,524.0,0.0,0.015704688939315644,0.00392068836513281,0.0,0.0074580820852661,0.74580820852661,Green
2025-03-01,Andhra Pradesh,Adilabad,0.0,0.0,0.0,390.0,3950.0,897.0,4366.0,5263.0,4340.0,0.0,0.059122874025477994,0.03247287691732136,0.0,0.033391012685387605,3.3391012685387604,Green
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,0.0,0.0,0.0,507.0,4448.0,585.0,1408.0,1993.0,4955.0,0.0,0.022388730369138826,0.03707444818555929,0.0,0.02007782660332332,2.0077826603323317,Green
2025-03-01,Andhra Pradesh,Anakapalli,0.0,0.0,0.0,373.0,2791.0,218.0,234.0,452.0,3164.0,0.0,0.005077624750050551,0.023673774784885894,0.0,0.00913318233548599,0.913318233548599,Green
2025-03-01,Andhra Pradesh,Anantapur,0.0,0.0,0.0,953.0,19013.0,3363.0,6499.0,9862.0,19966.0,0.0,0.11078658248893482,0.14939019827908717,0.0,0.08913169247930008,8.913169247930009,Green
2025-03-01,Andhra Pradesh,Ananthapur,0.0,0.0,0.0,2020.0,7310.0,11722.0,2215.0,13937.0,9330.0,0.0,0.1565638410209171,0.06980920314253647,0.0,0.0835682973511278,8.356829735112779,Green
2025-03-01,Andhra Pradesh,Ananthapuramu,0.0,0.0,0.0,2547.0,7891.0,14063.0,2087.0,16150.0,10438.0,0.0,0.1814239816666292,0.0780995136550692,0.0,0.09599944676317244,9.599944676317245,Green
2025-03-01,Andhra Pradesh,Annamayya,0.0,0.0,0.0,526.0,3272.0,235.0,270.0,505.0,3798.0,0.0,0.005673009953043205,0.028417508417508414,0.0,0.010794456506469806,1.0794456506469807,Green
2025-03-01,Andhra Pradesh,Bapatla,0.0,0.0,0.0,232.0,1653.0,114.0,131.0,245.0,1885.0,0.0,0.002752252353456604,0.01410400299289188,0.0,0.005332101839250206,0.5332101839250206,Green
2025-03-01,Andhra Pradesh,Chittoor,0.0,0.0,0.0,4070.0,38298.0,18773.0,9414.0,28187.0,42368.0,0.0,0.3166438248444135,0.3170071081182192,0.0,0.22175966237323116,22.175966237323117,Green
2025-03-01,Andhra Pradesh,Cuddapah,0.0,0.0,0.0,1786.0,16961.0,11599.0,5222.0,16821.0,18747.0,0.0,0.18896178301017771,0.14026936026936027,0.0,0.11766552128487917,11.766552128487916,Green
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0.0,0.0,0.0,240.0,2136.0,116.0,181.0,297.0,2376.0,0.0,0.0033364038733739243,0.017777777777777778,0.0,0.006667894882682903,0.6667894882682903,Green
2025-03-01,Andhra Pradesh,East Godavari,0.0,0.0,0.0,3391.0,37620.0,18286.0,11512.0,29798.0,41011.0,0.0,0.3347412882787751,0.30685372240927794,0.0,0.22595263203429342,22.59526320342934,Green
2025-03-01,Andhra Pradesh,Eluru,0.0,0.0,0.0,283.0,2536.0,171.0,308.0,479.0,2819.0,0.0,0.005380934193084544,0.02109240553684998,0.0,0.008480095338288812,0.8480095338288812,Green
2025-03-01,Andhra Pradesh,Guntur,0.0,0.0,0.0,3060.0,40302.0,19655.0,11604.0,31259.0,43362.0,0.0,0.3511536992518367,0.3244444444444444,0.0,0.23779481303406802,23.7794813034068,Green
2025-03-01,Andhra Pradesh,Hyderabad,0.0,0.0,0.0,695.0,6045.0,2070.0,9936.0,12006.0,6740.0,0.0,0.13487159900244894,0.05043022820800598,0.0,0.06907770806338137,6.907770806338137,Green
2025-03-01,Andhra Pradesh,K.V. Rangareddy,0.0,0.0,0.0,0.0,0.0,11.0,6.0,17.0,0.0,0.0,0.00019097261228066234,0.0,0.0,7.638904491226494e-05,0.007638904491226494,Green
2025-03-01,Andhra Pradesh,Kakinada,0.0,0.0,0.0,638.0,4748.0,203.0,317.0,520.0,5386.0,0.0,0.005841515199173201,0.04029928918817807,0.0,0.014426392836122702,1.4426392836122701,Green
2025-03-01,Andhra Pradesh,Karim Nagar,0.0,0.0,0.0,0.0,0.0,26.0,117.0,143.0,0.0,0.0,0.0016064166797726302,0.0,0.0,0.0006425666719090521,0.06425666719090521,Green
2025-03-01,Andhra Pradesh,Karimnagar,0.0,0.0,0.0,93.0,766.0,269.0,1150.0,1419.0,859.0,0.0,0.01594059628389764,0.006427235316124205,0.0,0.008304409108396317,0.8304409108396317,Green
2025-03-01,Andhra Pradesh,Khammam,0.0,0.0,0.0,431.0,4962.0,1070.0,2855.0,3925.0,5393.0,0.0,0.04409220607068233,0.040351664796109236,0.0,0.029742381867105705,2.9742381867105703,Green
2025-03-01,Andhra Pradesh,Krishna,0.0,0.0,0.0,1711.0,21831.0,16816.0,9887.0,26703.0,23542.0,0.0,0.2999730391606192,0.17614665170220725,0.0,0.17283321117490985,17.283321117490985,Green
2025-03-01,Andhra Pradesh,Kurnool,0.0,0.0,0.0,3650.0,31715.0,27662.0,10576.0,38238.0,35365.0,0.0,0.4295535734345862,0.2646090534979424,0.0,0.25120414542321723,25.120414542321722,Green
2025-03-01,Andhra Pradesh,Mahabub Nagar,0.0,0.0,0.0,26.0,184.0,45.0,269.0,314.0,210.0,0.0,0.0035273764856545865,0.0015712682379349044,0.0,0.001882331065642306,0.1882331065642306,Green
2025-03-01,Andhra Pradesh,Mahbubnagar,0.0,0.0,0.0,169.0,1133.0,274.0,1114.0,1388.0,1302.0,0.0,0.015592352108562312,0.009741863075196408,0.0,0.009159499765983847,0.9159499765983847,Green
2025-03-01,Andhra Pradesh,Medak,0.0,0.0,0.0,215.0,1387.0,421.0,1488.0,1909.0,1602.0,0.0,0.021445100990810845,0.011986531986531986,0.0,0.012173999992283933,1.2173999992283933,Green
2025-03-01,Andhra Pradesh,N. T. R,0.0,0.0,0.0,775.0,6936.0,380.0,740.0,1120.0,7711.0,0.0,0.012581725044373047,0.057695473251028806,0.0,0.02234133199305786,2.234133199305786,Green
2025-03-01,Andhra Pradesh,Nalgonda,0.0,0.0,0.0,146.0,2240.0,292.0,1601.0,1893.0,2386.0,0.0,0.021265362061605515,0.017852600074822297,0.0,0.013861924847088897,1.3861924847088898,Green
2025-03-01,Andhra Pradesh,Nandyal,0.0,0.0,0.0,339.0,2135.0,283.0,280.0,563.0,2474.0,0.0,0.006324563571412523,0.018511036288814064,0.0,0.008083136315209228,0.8083136315209228,Green
2025-03-01,Andhra Pradesh,Nellore,0.0,0.0,0.0,944.0,16115.0,5113.0,6240.0,11353.0,17059.0,0.0,0.12753600395425643,0.1276393565282454,0.0,0.0893062085401762,8.930620854017619,Green
2025-03-01,Andhra Pradesh,Nizamabad,0.0,0.0,0.0,53.0,476.0,233.0,677.0,910.0,529.0,0.0,0.0102226515985531,0.003958099513655069,0.0,0.0052764904935177605,0.527649049351776,Green
2025-03-01,Andhra Pradesh,Palnadu,0.0,0.0,0.0,323.0,2765.0,293.0,311.0,604.0,3088.0,0.0,0.00678514457750118,0.02310512532734755,0.0,0.009645595429204738,0.9645595429204737,Green
2025-03-01,Andhra Pradesh,Parvathipuram Manyam,0.0,0.0,0.0,201.0,1664.0,362.0,487.0,849.0,1865.0,0.0,0.009537396930957783,0.013954358398802843,0.0,0.008001266292023967,0.8001266292023967,Green
2025-03-01,Andhra Pradesh,Prakasam,0.0,0.0,0.0,2116.0,27970.0,11991.0,7242.0,19233.0,30086.0,0.0,0.2160574265878811,0.22511036288814065,0.0,0.15395607950159462,15.395607950159462,Green
2025-03-01,Andhra Pradesh,Rangareddi,0.0,0.0,0.0,463.0,3060.0,1114.0,5136.0,6250.0,3523.0,0.0,0.07021051922083174,0.026359895248784137,0.0,0.03599217626296794,3.599217626296794,Green
2025-03-01,Andhra Pradesh,Spsr Nellore,43.0,44.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.008359155437054119,0.0025077466311162356,0.25077466311162355,Green
2025-03-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,0.0,0.0,0.0,392.0,2890.0,110.0,172.0,282.0,3282.0,0.0,0.003167898627243928,0.024556677890011223,0.0,0.008634162817900939,0.8634162817900939,Green
2025-03-01,Andhra Pradesh,Sri Sathya Sai,0.0,0.0,0.0,535.0,2386.0,738.0,463.0,1201.0,2921.0,0.0,0.013491653373475026,0.021855592966704078,0.0,0.011953339239401234,1.1953339239401233,Green
2025-03-01,Andhra Pradesh,Srikakulam,0.0,0.0,0.0,5275.0,37687.0,22984.0,6997.0,29981.0,42962.0,0.0,0.33679705228156104,0.32145155256266367,0.0,0.23115428668142352,23.11542866814235,Green
2025-03-01,Andhra Pradesh,Tirupati,0.0,0.0,0.0,478.0,4139.0,268.0,382.0,650.0,4617.0,0.0,0.007301893998966501,0.034545454545454546,0.0,0.013284393963222963,1.3284393963222962,Green
2025-03-01,Andhra Pradesh,Visakhapatnam,0.0,0.0,0.0,3222.0,36984.0,21850.0,15143.0,36993.0,40206.0,0.0,0.41556763800579655,0.30083052749719413,0.0,0.25647621345147686,25.647621345147687,Green
2025-03-01,Andhra Pradesh,Vizianagaram,0.0,0.0,0.0,2141.0,20324.0,11966.0,6473.0,18439.0,22465.0,0.0,0.20713788222606663,0.16808829031051253,0.0,0.13328163998358042,13.328163998358042,Green
2025-03-01,Andhra Pradesh,Warangal,0.0,0.0,0.0,728.0,6167.0,1215.0,4034.0,5249.0,6895.0,0.0,0.05896560246242333,0.05158997381219603,0.0,0.03906323312862814,3.906323312862814,Green
2025-03-01,Andhra Pradesh,West Godavari,0.0,0.0,0.0,2189.0,27673.0,15662.0,9674.0,25336.0,29862.0,0.0,0.2846165943966389,0.22343434343434343,0.0,0.18087694078895858,18.087694078895858,Green
2025-03-01,Andhra Pradesh,Y. S. R,0.0,0.0,0.0,274.0,1877.0,259.0,301.0,560.0,2151.0,0.0,0.0062908625221865236,0.016094276094276095,0.0,0.007344627837157438,0.7344627837157438,Green
2025-03-01,Arunachal Pradesh,Anjaw,0.0,0.0,0.0,24.0,210.0,55.0,79.0,134.0,234.0,0.0,0.0015053135320946326,0.0017508417508417507,0.0,0.0011273779380903783,0.11273779380903783,Green
2025-03-01,Arunachal Pradesh,Changlang,0.0,0.0,0.0,73.0,1120.0,483.0,339.0,822.0,1193.0,0.0,0.00923408748792379,0.008926300037411149,0.0,0.0063715250063928605,0.6371525006392861,Green
2025-03-01,Arunachal Pradesh,Dibang Valley,0.0,0.0,0.0,0.0,0.0,15.0,41.0,56.0,0.0,0.0,0.0006290862522186524,0.0,0.0,0.00025163450088746094,0.025163450088746094,Green
2025-03-01,Arunachal Pradesh,East Kameng,0.0,0.0,0.0,0.0,0.0,189.0,244.0,433.0,0.0,0.0,0.004864184771619223,0.0,0.0,0.0019456739086476894,0.19456739086476893,Green
2025-03-01,Arunachal Pradesh,East Siang,0.0,0.0,0.0,19.0,151.0,134.0,131.0,265.0,170.0,0.0,0.002976926014963266,0.0012719790497568275,0.0,0.0015723641209123547,0.15723641209123548,Green
2025-03-01,Arunachal Pradesh,Kra Daadi,0.0,0.0,0.0,26.0,105.0,75.0,122.0,197.0,131.0,0.0,0.0022130355658406165,0.0009801720912832024,0.0,0.0011792658537212073,0.11792658537212074,Green
2025-03-01,Arunachal Pradesh,Kurung Kumey,0.0,0.0,0.0,0.0,0.0,93.0,536.0,629.0,0.0,0.0,0.0070659866543845064,0.0,0.0,0.0028263946617538027,0.28263946617538027,Green
2025-03-01,Arunachal Pradesh,Lohit,0.0,0.0,0.0,30.0,234.0,100.0,364.0,464.0,264.0,0.0,0.0052124289469545485,0.0019753086419753087,0.0,0.002677564171374412,0.2677564171374412,Green
2025-03-01,Arunachal Pradesh,Longding,0.0,0.0,0.0,45.0,285.0,133.0,129.0,262.0,330.0,0.0,0.0029432249657372666,0.0024691358024691358,0.0,0.0019180307270356472,0.19180307270356473,Green
2025-03-01,Arunachal Pradesh,Lower Dibang Valley,0.0,0.0,0.0,36.0,249.0,80.0,117.0,197.0,285.0,0.0,0.0022130355658406165,0.002132435465768799,0.0,0.0015249448660668865,0.15249448660668866,Green
